#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
106,Uganda,"40,867",,335 ,,"40,449",,83,,873,7,"940,146","20,085","46,807,770 ",Africa,"1,145","139,725",50
107,Botswana,"39,848",,568 ,,"36,958",,"2,322",1,"16,695",238,"926,189","388,033","2,386,879 ",Africa,60,"4,202",3
108,Jamaica,"39,237",,596 ,,"17,598",,"21,043",39,"13,207",201,"282,399","95,057","2,970,828 ",North America,76,"4,985",11
109,Senegal,"38,705",,"1,051 ",,"37,321",,333,30,"2,267",62,"439,805","25,764","17,070,578 ",Africa,441,"16,242",39
110,Zimbabwe,"36,882",,"1,523 ",,"34,686",,673,13,"2,455",101,"380,662","25,337","15,023,965 ",Africa,407,"9,865",39
111,Malawi,"33,551",,"1,117 ",,"30,272",,"2,162",28,"1,721",57,"218,468","11,206","19,495,989 ",Africa,581,"17,454",89
112,Sudan,"30,111",,"2,063 ",,"24,214",,"3,834",,675,46,"232,965","5,222","44,608,252 ",Africa,"1,481","21,623",191
113,Australia,"29,319",+15,909 ,,"26,288",,"2,122",,"1,140",35,"15,689,018","609,984","25,720,385 ",Australia/Oceania,877,"28,295",2
114,Malta,"29,033",,392 ,,"27,812",,829,,"65,623",886,"809,340","1,829,335","442,423 ",Europe,15,"1,129",1
115,Thailand,"28,889",+26,94 ,,"27,548",+122,"1,247",1,413,1,"8,074,112","115,458","69,930,991 ",Asia,"2,421","743,947",9
116,DRC,"28,142",,743 ,,"25,444",,"1,955",,307,8,,,"91,573,283 ",Africa,"3,254","123,248",
117,Madagascar,"24,426",,418 ,,"21,908",,"2,100",246,866,15,"142,954","5,066","28,218,182 ",Africa,"1,155","67,508",197
118,Maldives,"24,079",,67 ,,"21,155",,"2,857",99,"43,970",122,"650,537","1,187,935","547,620 ",Asia,23,"8,173",1
119,Angola,"22,311",,537 ,,"20,493",,"1,281",13,664,16,"418,575","12,450","33,621,433 ",Africa,"1,507","62,610",80
120,Rwanda,"21,783",,307 ,,"20,182",,"1,294",5,"1,651",23,"1,148,201","87,050","13,190,080 ",Africa,606,"42,964",11
121,Guinea,"19,908",,125 ,,"16,619",,"3,164",24,"1,486",9,"181,820","13,572","13,396,411 ",Africa,673,"107,171",74
122,Gabon,"19,550",,118 ,,"16,609",,"2,823",24,"8,633",52,"637,354","281,434","2,264,663 ",Africa,116,"19,192",4
123,Mayotte,"19,408",,161 ,,"2,964",,"16,283",17,"69,890",580,"151,773","546,550","277,693 ",Africa,14,"1,725",2
124,Syria,"18,909",,"1,265 ",,"12,731",,"4,913",,"1,061",71,,,"17,815,688 ",Asia,942,"14,084",
125,French Polynesia,"18,627",,141 ,,"4,842",,"13,644",2,"66,025",500,"26,355","93,417","282,121 ",Australia/Oceania,15,"2,001",11
126,Mauritania,"17,847",,449 ,,"17,093",,305,14,"3,765",95,"205,167","43,283","4,740,138 ",Africa,266,"10,557",23
127,Cabo Verde,"17,470",,168 ,,"16,277",,"1,025",23,"31,169",300,"127,554","227,576","560,489 ",Africa,32,"3,336",4
128,Eswatini,"17,337",,667 ,,"16,528",,142,6,"14,829",571,"172,043","147,156","1,169,121 ",Africa,67,"1,753",7
129,French Guiana,"17,132",,93 ,,"9,995",,"7,044",5,"56,279",306,"162,697","534,460","304,414 ",South America,18,"3,273",2
130,Réunion,"16,586",,115 ,,"14,828",,"1,643",54,"18,427",128,"98,785","109,751","900,083 ",Africa,54,"7,827",9
131,Tajikistan,"13,308",,90 ,,"13,218",,0,,"1,372",9,,,"9,696,522 ",Asia,729,"107,739",
132,Haiti,"12,762",,251 ,,"11,043",,"1,468",,"1,109",22,"54,379","4,726","11,506,097 ",North America,902,"45,841",212
133,Burkina Faso,"12,717",,146 ,,"12,385",,186,,596,7,,,"21,327,391 ",Africa,"1,677","146,078",
134,Belize,"12,456",,317 ,,"12,090",,49,1,"30,909",787,"100,149","248,514","402,992 ",North America,32,"1,271",4
135,Andorra,"12,010",,115 ,,"11,315",,580,12,"155,254","1,487","193,595","2,502,618","77,357 ",Europe,6,673,0
136,Guadeloupe,"11,681",,170 ,,"2,242",,"9,269",8,"29,190",425,"154,363","385,739","400,175 ",North America,34,"2,354",3
137,Hong Kong,"11,481",+13,205 ,,"11,108",+13,168,9,"1,522",27,"11,193,673","1,484,104","7,542,377 ",Asia,657,"36,792",1
138,Somalia,"11,398",,529 ,,"4,819",,"6,050",,703,33,,,"16,221,239 ",Africa,"1,423","30,664",
139,Lesotho,"10,706",,315 ,,"4,471",,"5,920",,"4,968",146,"67,404","31,279","2,154,925 ",Africa,201,"6,841",32
140,Guyana,"10,249",,231 ,,"9,098",,920,12,"12,983",293,"89,958","113,959","789,389 ",South America,77,"3,417",9
141,Togo,"10,249",,109 ,,"7,815",,"2,325",,"1,217",13,"273,356","32,455","8,422,560 ",Africa,822,"77,271",31
142,South Sudan,"10,197",+29,112 ,,"9,710",+42,375,,903,10,"132,246","11,712","11,291,526 ",Africa,"1,107","100,817",85
143,Mali,"10,042",,385 ,,"6,830",,"2,827",,486,19,"161,704","7,819","20,682,142 ",Africa,"2,060","53,720",128
144,Congo,"9,681",,135 ,,"8,208",,"1,338",,"1,723",24,"92,500","16,463","5,618,718 ",Africa,580,"41,620",61
145,Aruba,"9,443",,86 ,,"8,684",,673,8,"88,166",803,"126,431","1,180,440","107,105 ",North America,11,"1,245",1
146,Suriname,"9,122",,177 ,,"8,598",,347,3,"15,447",300,"44,700","75,692","590,554 ",South America,65,"3,336",13
147,Bahamas,"9,119",,188 ,,"8,597",,334,3,"23,025",475,"75,729","191,212","396,047 ",North America,43,"2,107",5
148,Mongolia,"8,841",+394,8 ,,"5,070",+150,"3,763",46,"2,665",2,"2,262,962","682,117","3,317,557 ",Asia,375,"414,695",1
149,Curaçao,"8,404",,35 ,,"5,267",,"3,102",22,"51,059",213,"71,731","435,803","164,595 ",North America,20,"4,703",2
150,Martinique,"8,304",,51 ,,98,,"8,155",5,"22,141",136,"126,108","336,246","375,047 ",North America,45,"7,354",3
151,Trinidad and Tobago,"8,026",,142 ,,"7,615",,269,14,"5,721",101,"110,325","78,642","1,402,877 ",North America,175,"9,879",13
152,Djibouti,"8,002",,70 ,,"6,460",,"1,472",,"8,012",70,"129,809","129,979","998,694 ",Africa,125,"14,267",8
153,Benin,"7,100",,90 ,,"6,452",,558,35,575,7,"548,484","44,382","12,358,293 ",Africa,"1,741","137,314",23
154,Equatorial Guinea,"6,914",,102 ,,"6,495",,317,14,"4,811",71,"110,205","76,691","1,437,003 ",Africa,208,"14,088",13
155,Nicaragua,"6,677",,178 ,,"4,225",,"2,274",,999,27,,,"6,683,286 ",North America,"1,001","37,547",
156,Iceland,"6,205",,29 ,,"6,058",,118,1,"18,096",85,"544,007","1,586,503","342,897 ",Europe,55,"11,824",1
157,Papua New Guinea,"6,112",+157,60 ,,846,,"5,206",,674,7,"63,700","7,021","9,072,923 ",Australia/Oceania,"1,484","151,215",142
158,Gambia,"5,459",,165 ,,"5,070",,224,3,"2,213",67,"55,196","22,375","2,466,888 ",Africa,452,"14,951",45
159,CAR,"5,161",,67 ,,"4,957",,137,2,"1,055",14,"38,422","7,854","4,892,190 ",Africa,948,"73,018",127
160,Niger,"5,001",,186 ,,"4,590",,225,1,201,7,"88,764","3,572","24,852,302 ",Africa,"4,969","133,615",280
161,San Marino,"4,730",,84 ,,"4,128",,518,8,"139,183","2,472","52,984","1,559,087","33,984 ",Europe,7,405,1
162,Chad,"4,533",,164 ,,"4,140",,229,,270,10,,,"16,774,413 ",Africa,"3,701","102,283",
163,Yemen,"4,357",,888 ,,"1,676",,"1,793",23,144,29,"20,872",689,"30,313,246 ",Asia,"6,957","34,137","1,452"
164,Gibraltar,"4,274",,94 ,,"4,168",,12,,"126,889","2,791","213,180","6,329,009","33,683 ",Europe,8,358,0
165,Saint Lucia,"4,238",,60 ,,"4,142",,36,1,"23,001",326,"35,848","194,558","184,254 ",North America,43,"3,071",5
166,Seychelles,"4,135",,22 ,,"3,745",,368,,"41,851",223,"5,200","52,631","98,802 ",Africa,24,"4,491",19
167,Channel Islands,"4,049",,86 ,,"3,956",,7,1,"23,129",491,"399,901","2,284,378","175,059 ",Europe,43,"2,036",0
168,Sierra Leone,"3,980",,79 ,,"2,812",,"1,089",,492,10,"117,081","14,459","8,097,410 ",Africa,"2,035","102,499",69
169,Comoros,"3,696",,146 ,,"3,525",,25,,"4,184",165,,,"883,347 ",Africa,239,"6,050",
170,Barbados,"3,652",,42 ,,"3,465",,145,,"12,697",146,"140,894","489,831","287,638 ",North America,79,"6,849",2
171,Guinea-Bissau,"3,650",,63 ,,"2,972",,615,16,"1,823",31,"58,641","29,284","2,002,479 ",Africa,549,"31,785",34
172,Eritrea,"3,285",,10 ,,"3,029",,246,,917,3,"23,693","6,613","3,582,966 ",Africa,"1,091","358,297",151
173,Burundi,"2,810",,6 ,,773,,"2,031",,231,0.5,"90,019","7,407","12,152,532 ",Africa,"4,325","2,025,422",135
174,Liechtenstein,"2,670",,56 ,,"2,568",,46,,"69,877","1,466","32,252","844,072","38,210 ",Europe,14,682,1
175,Vietnam,"2,603",,35 ,,"2,359",,209,,27,0.4,"2,598,753","26,520","97,992,014 ",Asia,"37,646","2,799,772",38
176,New Zealand,"2,501",+4,26 ,,"2,408",+9,67,,500,5,"1,902,915","380,423","5,002,100 ",Australia/Oceania,"2,000","192,388",3
177,Cambodia,"2,477",+37,14 ,+3,"1,240",+49,"1,223",,147,0.8,"706,590","41,832","16,891,240 ",Asia,"6,819","1,206,517",24
178,Turks and Caicos,"2,331",,17 ,,"2,268",,46,3,"59,606",435,"27,696","708,211","39,107 ",North America,17,"2,300",1
179,Monaco,"2,288",,28 ,,"2,115",,145,7,"57,997",710,"51,953","1,316,933","39,450 ",Europe,17,"1,409",1
180,Sao Tome and Principe,"2,223",,34 ,,"2,092",,97,,"10,005",153,"12,109","54,500","222,183 ",Africa,100,"6,535",18
181,Sint Maarten,"2,147",,27 ,,"2,078",,42,1,"49,654",624,"23,608","545,989","43,239 ",North America,20,"1,601",2
182,Liberia,"2,042",,85 ,,"1,899",,58,2,397,17,"79,684","15,485","5,145,801 ",Africa,"2,520","60,539",65
